#"Potential Energy (kJ/mole)","Speed (ns/day)"
-44639.543745648334,0
-40010.16505967827,7.89
-36556.38933498334,7.8
-33503.55840982734,7.76
-31457.37366744371,7.65
-29275.359428689477,7.58
-27863.014375107552,7.43
-27000.100428983365,7.37
-26167.8082042978,7.34
-25279.08779462086,7.31
-24630.604846897724,7.23
-24257.653777168118,7.18
-23951.328194994752,7.14
-23666.865012350732,7.06
-23031.086973404494,7
-22808.76806822043,6.97
-22981.138987335882,6.94
-22938.53968963904,6.91
-22398.2253675185,6.88
-22309.166060264677,6.86
-22734.177925068252,6.85
-23008.097242803058,6.83
-23004.227686568884,6.82
-23002.590472829103,6.8
-22835.80700415893,6.8
-23182.444390620698,6.79
-23129.432883124697,6.79
-23290.11423782774,6.78
-23454.97592410699,6.76
-23537.069640603997,6.74
-23765.612806099434,6.73
-23809.59651198732,6.71
-23568.47527306968,6.7
-23690.24237147984,6.68
-23792.24941899351,6.66
-23623.956814027304,6.63
-23403.826262973027,6.61
-24030.100181187598,6.58
-24101.125672566457,6.55
-24016.606612973246,6.53
-24190.68717615227,6.5
-24510.51422508826,6.46
-24528.63238243573,6.38
-24602.417267094228,6.28
-24453.056208220303,6.18
-24586.1831431832,6.1
-24925.742145044147,6.02
-24541.61054180662,5.95
-24311.35133279488,5.88
-24247.0085384151,5.81
-24592.31230092225,5.75
-24423.818918137717,5.68
-24503.699256514694,5.59
-24379.5615475609,5.52
-24935.018141214132,5.45
-24484.746359030345,5.36
-24649.273626927323,5.28
-24594.252994740295,5.22
-24332.322547253963,5.16
-24791.176422141027,5.11
-24889.689666761657,5.07
-25005.069818518255,5.03
-25228.50275674902,5
-25219.501767590566,4.97
-25134.594400580216,4.94
-25552.099307433513,4.91
-25387.229388128504,4.89
-25389.57695977266,4.86
-25715.94010577445,4.84
-25769.013049601832,4.81
-25443.37902197766,4.78
-25620.901513664758,4.74
-25330.724173212377,4.7
-25320.486838865352,4.65
-25367.397012636677,4.61
-25768.14083299528,4.58
-25485.114493290283,4.55
-25507.168076123708,4.52
-25468.13645576551,4.49
-25708.2226698888,4.46
-25344.59106305969,4.43
-25547.213665470474,4.42
-25481.01227158463,4.41
-25282.798493225346,4.41
-25521.142840997385,4.4
-25745.96315370514,4.38
-25490.0908446122,4.37
-25958.99578490125,4.36
-26198.12124992993,4.35
-26241.644555896146,4.28
-25949.291837952547,4.22
-25482.648179585038,4.16
-25384.621006281574,4.1
-25576.066654204977,4.05
-25811.451768058967,4.01
-25530.869879643044,3.97
-25463.32582591718,3.93
-25614.368995696765,3.88
-25777.578261693066,3.84
-25808.56122500094,3.81
-26083.42301183393,3.77
-26219.232077044886,3.74
-25862.0104678168,3.71
-25907.811541293115,3.67
-26117.24647434496,3.64
-25927.958839888888,3.61
-26063.826256748325,3.58
-26314.006215339232,3.54
-26213.414509872302,3.51
-26147.011597745295,3.47
-25835.34741494818,3.44
-26147.446087782537,3.41
