#"Potential Energy (kJ/mole)","Speed (ns/day)"
-4317.8951720445875,0
461.73129465885904,1.11
4282.277441280881,1.13
7676.204166714271,1.14
10335.938966039364,1.15
12410.223833293869,1.15
13959.988254948363,1.15
15394.029354460225,1.15
16224.086541692268,1.15
17441.155552959903,1.16
18621.5682971191,1.16
18830.271948658847,1.16
18995.413758210878,1.15
19113.959412659606,1.14
19248.085093871618,1.13
19871.792382899515,1.12
19538.67023178556,1.12
19743.619802709334,1.11
19539.458756812786,1.1
19531.188476383526,1.09
19774.335717219918,1.09
19268.164861269473,1.08
19437.129742032466,1.07
19046.80704334235,1.07
19077.5254284499,1.06
19226.57837734029,1.06
19228.235467308383,1.05
19279.913426423453,1.05
18853.63702313087,1.05
18699.282315905984,1.04
18067.06724685475,1.04
18126.02763276265,1.04
18894.51754711877,1.04
18822.747752483847,1.04
17807.31056292926,1.04
17703.555620848794,1.04
17931.581920573644,1.04
17608.26944784052,1.04
17710.20281796318,1.03
17387.41608157479,1.03
17403.220282235285,1.03
17290.034278344137,1.03
17408.98688587735,1.03
17277.963416840004,1.02
17586.556005519113,1.02
17633.991072956345,1.02
17534.855190715796,1.02
17518.036444732603,1.02
17007.360642042124,1.02
17447.584183837458,1.02
17249.320393303027,1.02
17059.9598832315,1.01
17362.675677453484,1.01
17062.239388365364,1.01
16995.605631694292,1.01
17429.825552924645,1.01
17074.86244146325,1.01
16539.522727894513,1.01
16700.859923650532,1
16883.77957921596,1
16443.76467858984,1
16204.648098343136,1
16219.05726793626,1
16188.47021222717,0.998
16066.084447501587,0.997
16232.8297981203,0.996
16302.312136437107,0.994
16300.053598108367,0.993
16403.055644249365,0.992
16311.27905029295,0.991
16207.341785603385,0.99
16290.341855060986,0.989
16321.689760069628,0.988
16595.348673638342,0.987
15988.413833094812,0.986
16043.244384465106,0.985
16111.992141857736,0.984
15825.83122659113,0.984
15379.531581261632,0.983
15930.515879912135,0.982
15170.704778939617,0.981
15507.429918259546,0.98
14707.162999888737,0.979
14925.522708965524,0.978
15035.0734490904,0.977
14775.113143136135,0.977
14852.639592128766,0.976
14441.106288213017,0.975
14381.434163174275,0.975
14557.659793985396,0.974
14711.626623356457,0.974
14513.426836111554,0.973
14334.398260641676,0.973
14408.060513541634,0.973
14016.970880754256,0.972
14610.877293824455,0.972
14128.617590399266,0.971
14391.630313359281,0.971
14487.950776352656,0.97
14553.811429481295,0.969
14517.942709244562,0.967
14239.310526267134,0.919
14052.134788454787,0.925
13736.651988355432,0.93
13928.285494811986,0.935
13427.763919506408,0.94
13439.209300502665,0.945
13711.179874932506,0.949
13940.928702067602,0.954
13725.318795853738,0.737
13839.864889988832,0.742
13329.3108329785,0.746
12832.05833550663,0.751
13558.827047547486,0.755
13888.93142531201,0.759
13469.767364594023,0.764
13155.768271292378,0.768
13356.47129166421,0.772
13354.447885812824,0.776
13416.42942220607,0.732
13228.294786116287,0.736
13451.385015437074,0.74
13147.217535774074,0.744
13248.69078945048,0.748
13256.122622766608,0.752
12938.195091418103,0.755
13098.29675730659,0.759
12760.410878312545,0.762
12911.822456281592,0.766
13231.82839331057,0.77
13084.049044070664,0.774
13403.987938215236,0.777
12846.94027148174,0.781
12529.073353617052,0.735
13161.888373082533,0.739
12532.416047936465,0.742
12549.433417654094,0.746
12635.030135393336,0.749
12748.042234055247,0.753
12270.39974453409,0.756
12416.149296088279,0.76
12658.405111688317,0.763
12721.708314881718,0.762
12460.599853508222,0.765
12452.878696368054,0.769
12744.732556660536,0.772
12131.764747568392,0.775
12517.905947939606,0.779
12184.27099876372,0.782
12249.775191205012,0.784
12889.779203695372,0.775
12532.4492652902,0.778
12510.920666674516,0.781
11771.091674668402,0.784
12485.485488169237,0.787
12206.37695643841,0.79
12301.416464843245,0.678
12377.925555375496,0.681
12200.465013934896,0.684
12349.81230372313,0.687
12246.892352987266,0.69
12258.775977879432,0.693
12090.002176814822,0.696
12959.298260752043,0.699
12225.797827571787,0.702
12275.173979394825,0.704
