#"Potential Energy (kJ/mole)","Speed (ns/day)"
-23017.003648401133,0
-17895.14652923149,1.29
-13998.838542392865,1.33
-10988.070093607363,1.36
-8200.084876974175,1.34
-6257.187436111024,1.35
-4413.124068984507,1.35
-3181.8852945772414,1.32
-2177.248279534244,1.27
-1069.3631312074576,1.24
-238.371510283534,1.22
51.6053329552924,1.21
1081.9026993308835,1.2
751.4103074869054,1.19
1426.1618508677893,1.18
1449.7970779742827,1.18
2010.3232364546166,1.17
1623.004554117353,1.17
1372.1820568762087,1.17
1948.8966387221044,1.16
1815.2645120047782,1.15
1843.0820522335525,1.14
1465.6486902565011,1.13
1573.7774134020365,1.12
1283.7942838056551,1.11
1809.4028493297228,1.11
1499.9160659555928,1.1
1429.5887252765133,1.09
1301.0693144192992,1.08
976.7724957916216,1.07
1162.4540802620904,1.07
804.640482683757,1.06
726.2281212256094,1.06
742.653262074422,1.05
587.5195892926968,1.05
447.1980025406956,1.04
605.0897583458755,1.04
480.5642920121718,1.04
-10.778697304140223,1.04
502.368672350618,1.03
323.80798388418043,1.03
74.93802729627714,1.03
296.1703185915503,1.03
-266.714588080893,1.02
297.4671498266762,1.02
-229.4157665900093,1.02
-27.470843063216307,1.02
-352.09221968925704,1.01
114.23555701143778,1.01
-50.48467136413092,1.01
387.79162185735913,1.01
-282.4047619645389,1.01
-122.09649641524084,1
-466.39047143335847,1
-57.196885769404616,1
-149.64552568593353,0.998
-524.6153888528279,0.996
-679.4153886938657,0.994
-717.0416299546341,0.992
-886.7039784818189,0.991
-541.0471849814749,0.989
-616.7908016288202,0.987
-497.3145039269366,0.985
-322.2043477022162,0.984
-74.84794193128619,0.982
-604.0871264980706,0.981
-528.0123990597203,0.979
-143.77671422447747,0.978
-547.6163204245131,0.976
-285.32436742376376,0.974
-71.82991300001595,0.973
-408.2960855998135,0.972
-436.71209666968207,0.97
-595.2346703992953,0.969
-532.003222590607,0.967
-663.5442191580842,0.966
-354.5531053748018,0.965
-274.78206233929814,0.964
-292.6913231659928,0.962
31.3942932951868,0.961
-701.0189811070959,0.96
-664.6543653516928,0.96
-639.4518601565105,0.958
-319.7489795919719,0.957
-430.7114798912771,0.956
-762.7599052042642,0.955
-1153.4809786599799,0.954
-1261.172624238061,0.953
-749.1603106999864,0.952
-1286.2855133663143,0.951
-1050.892724052861,0.95
-891.0243881625793,0.949
-804.7238648796192,0.949
-686.0522618766008,0.948
-1002.3326606056798,0.948
-731.8428125165083,0.947
-431.5533964322167,0.947
-655.9197954212541,0.946
-1082.5108899707047,0.945
-777.8153267949237,0.944
-1092.125305526948,0.944
-778.5273350879106,0.943
-1177.2096513422657,0.942
-1292.5025003356495,0.94
-812.3015209927835,0.896
-1358.4559822156552,0.901
-860.9928885198751,0.906
-1638.9876336968919,0.91
-1117.1318811100828,0.915
-1114.545310352405,0.92
-1822.7437997166417,0.924
-1096.9235151967077,0.928
-1473.9261323357496,0.726
-1135.6291864893064,0.731
-1387.0984115472274,0.735
-887.9100389902487,0.739
-1366.5258479420008,0.743
-1600.2036223589894,0.747
-1794.8102802689173,0.751
-1534.3518289901804,0.755
-1524.2981255349005,0.759
-1499.6394444626276,0.718
-1219.0813383525856,0.722
-1267.8662282125188,0.725
-1560.9671587278863,0.729
-1668.7662430114142,0.733
-1139.2088339416186,0.737
-1322.4444098490749,0.739
-1225.9521230508544,0.743
-1249.0886602822138,0.747
-1461.6448054417415,0.75
-1834.2758667570597,0.754
-1335.8081390135994,0.757
-1859.6472351463817,0.761
-1711.622152028176,0.764
-1510.992616655447,0.721
-1808.7016559183394,0.724
-1709.9856587579634,0.728
-1717.163087820918,0.731
-1411.6241339356202,0.735
-2194.264817631989,0.738
-1871.633967956619,0.742
-1681.9177531191453,0.745
-1878.253526758719,0.748
-1529.9540409206784,0.747
-1515.8344643207238,0.75
-1840.8239164112274,0.753
-1715.1798778854354,0.757
-2198.0169917885905,0.76
-1980.5023488732404,0.763
-2188.365015116975,0.766
-2335.822099221219,0.768
-1655.3033330433718,0.759
-1898.7116234861896,0.762
-2427.508931609398,0.765
-1736.636484139919,0.768
-1829.29923558854,0.771
-2195.2368325806565,0.665
-1738.621573652803,0.668
-1516.586495174306,0.671
-1854.8846061743207,0.674
-1615.279275379722,0.676
-2176.989944471661,0.679
-2341.0398936801175,0.682
-2104.2532985068574,0.684
-2040.2176607102665,0.687
-2067.809658929069,0.69
-2065.6602096792485,0.693
-1749.0096970534214,0.695
-2081.6542690104507,0.698
-2245.19203211939,0.7
-2017.9035693108854,0.703
-1905.7749517127013,0.705
-2323.5426012433127,0.587
-2195.125666404947,0.589
-2168.484012321551,0.59
-2336.3996281995933,0.592
-2217.7718734628106,0.592
-1674.5042456658375,0.582
-1848.823428023632,0.584
-1975.833690339332,0.587
-2382.772413804749,0.589
-1878.3028560653875,0.591
-2200.714070780643,0.594
-2330.4565888069337,0.596
-2218.369597576566,0.598
-2350.142732178996,0.6
-2042.953333603371,0.603
-2223.9261961109514,0.605
-2219.8707397825565,0.607
-2530.2580378271923,0.524
-2645.638505775827,0.527
-2230.629593073849,0.529
-2588.708335068077,0.531
-3017.183839187739,0.533
-2504.116042839669,0.535
-3142.5204122330106,0.537
-2673.078107348829,0.539
-2404.334774759878,0.541
-2910.363751545621,0.543
-3494.5313463235543,0.545
-2963.656330629263,0.547
-3039.6452231850963,0.549
-2689.2892099674973,0.551
-2838.065934535156,0.553
-2713.23408601735,0.533
-2959.303112692014,0.535
-3047.945685683728,0.536
-2772.108979426943,0.538
-2842.1552461342217,0.54
-3200.3309891702993,0.542
-2852.0337020490297,0.525
-2907.4152933729783,0.527
-2737.1089524848358,0.529
-3074.6280949487664,0.53
-3454.6652711394236,0.532
-3265.610956897217,0.534
-3158.6930000878892,0.536
-3386.286813985771,0.538
-3297.327103399679,0.539
-3127.9882712503677,0.541
-3402.675276889924,0.543
-3866.844870098721,0.545
-3495.67325528722,0.546
-3171.5948542068145,0.548
-3190.5846153512466,0.55
-3336.852955690072,0.551
-3549.0421290566046,0.553
-2988.710714085628,0.555
-3333.9515674847935,0.556
-2950.3981713477297,0.557
-2916.3068273693425,0.559
-2625.4659050342307,0.56
-3321.745988640283,0.562
-3082.3575005862003,0.563
-2958.9102065533552,0.565
-3266.9710513277096,0.567
-3760.6569944820003,0.568
-2871.252553681523,0.57
-3171.4317114200494,0.572
-3181.002627476126,0.573
-3429.915661294519,0.575
-3058.506723725739,0.577
-3818.028560043782,0.578
-3342.7558608239706,0.58
-3556.275860350983,0.582
-3720.0661013273675,0.583
-3638.519133965896,0.585
-3797.0437358184718,0.587
-3852.9109609471125,0.588
-3910.2212168303195,0.59
-3805.208783013004,0.591
-3435.2124449473995,0.593
-3551.3783377131767,0.595
-3035.027622099129,0.596
-3356.944286750062,0.598
-3070.6936439001074,0.6
-3422.1893935225344,0.601
-3611.449269870245,0.603
-4015.808669547565,0.604
